date,count,weekday,moving_avg,cumulative,delta,phase
2024-11-29,10,금요일,10.0,10,,정체기
2024-11-30,16,토요일,13.0,26,3.0,성장기
2024-12-01,16,일요일,14.0,42,2.0,성장기
2024-12-02,15,월요일,14.25,57,1.4166666666666667,성장기
2024-12-03,15,화요일,14.4,72,0.4666666666666668,성장기
2024-12-04,14,수요일,14.333333333333334,86,0.11111111111111131,성장기
2024-12-05,14,목요일,14.285714285714286,100,0.011904761904762159,성장기
2024-12-06,14,금요일,14.857142857142858,114,0.15238095238095242,성장기
2024-12-07,13,토요일,14.428571428571429,127,0.03174603174603163,성장기
2024-12-08,13,일요일,14.0,140,-0.0952380952380955,쇠퇴기
2024-12-09,13,월요일,13.714285714285714,153,-0.3809523809523814,쇠퇴기
2024-12-10,12,화요일,13.285714285714286,165,-0.38095238095238076,쇠퇴기
2024-12-11,12,수요일,13.0,177,-0.3333333333333333,쇠퇴기
2024-12-12,11,목요일,12.571428571428571,188,-0.38095238095238076,쇠퇴기
2024-12-13,12,금요일,12.285714285714286,200,-0.3333333333333333,쇠퇴기
2024-12-14,11,토요일,12.0,211,-0.3333333333333333,쇠퇴기
2024-12-15,11,일요일,11.714285714285714,222,-0.28571428571428586,쇠퇴기
2024-12-16,10,월요일,11.285714285714286,232,-0.3333333333333333,쇠퇴기
2024-12-17,10,화요일,11.0,242,-0.3333333333333333,쇠퇴기
2024-12-18,11,수요일,10.857142857142858,253,-0.2857142857142853,쇠퇴기
2024-12-19,10,목요일,10.714285714285714,263,-0.190476190476191,쇠퇴기
2024-12-20,9,금요일,10.285714285714286,272,-0.23809523809523783,쇠퇴기
2024-12-21,10,토요일,10.142857142857142,282,-0.23809523809523844,쇠퇴기
2024-12-22,9,일요일,9.857142857142858,291,-0.2857142857142853,쇠퇴기
2024-12-23,9,월요일,9.714285714285714,300,-0.190476190476191,쇠퇴기
2024-12-24,9,화요일,9.571428571428571,309,-0.19047619047619038,쇠퇴기
2024-12-25,9,수요일,9.285714285714286,318,-0.19047619047619038,쇠퇴기
2024-12-26,9,목요일,9.142857142857142,327,-0.19047619047619038,쇠퇴기
2024-12-27,8,금요일,9.0,335,-0.19047619047619038,쇠퇴기
2024-12-28,9,토요일,8.857142857142858,344,-0.14285714285714293,쇠퇴기
2024-12-29,8,일요일,8.714285714285714,352,-0.14285714285714293,쇠퇴기
2024-12-30,8,월요일,8.571428571428571,360,-0.14285714285714293,쇠퇴기
2024-12-31,8,화요일,8.428571428571429,368,-0.14285714285714293,쇠퇴기
2025-01-01,8,수요일,8.285714285714286,376,-0.14285714285714235,쇠퇴기
2025-01-02,8,목요일,8.142857142857142,384,-0.14285714285714293,쇠퇴기
2025-01-03,7,금요일,8.0,391,-0.14285714285714293,쇠퇴기
2025-01-04,8,토요일,7.857142857142857,399,-0.14285714285714324,쇠퇴기
2025-01-05,7,일요일,7.714285714285714,406,-0.14285714285714265,쇠퇴기
2025-01-06,7,월요일,7.571428571428571,413,-0.14285714285714293,쇠퇴기
2025-01-07,8,화요일,7.571428571428571,421,-0.09523809523809519,쇠퇴기
2025-01-08,7,수요일,7.428571428571429,428,-0.09523809523809519,쇠퇴기
2025-01-09,6,목요일,7.142857142857143,434,-0.14285714285714265,쇠퇴기
2025-01-10,7,금요일,7.142857142857143,441,-0.14285714285714265,쇠퇴기
2025-01-11,7,토요일,7.0,448,-0.14285714285714293,쇠퇴기
2025-01-12,7,일요일,7.0,455,-0.04761904761904775,쇠퇴기
2025-01-13,6,월요일,6.857142857142857,461,-0.0952380952380955,쇠퇴기
2025-01-14,7,화요일,6.714285714285714,468,-0.09523809523809519,쇠퇴기
2025-01-15,6,수요일,6.571428571428571,474,-0.14285714285714293,쇠퇴기
2025-01-16,6,목요일,6.571428571428571,480,-0.09523809523809519,쇠퇴기
2025-01-17,7,금요일,6.571428571428571,487,-0.04761904761904775,쇠퇴기
2025-01-18,6,토요일,6.428571428571429,493,-0.04761904761904745,쇠퇴기
2025-01-19,6,일요일,6.285714285714286,499,-0.09523809523809519,쇠퇴기
2025-01-20,6,월요일,6.285714285714286,505,-0.09523809523809519,쇠퇴기
2025-01-21,6,화요일,6.142857142857143,511,-0.09523809523809519,쇠퇴기
2025-01-22,6,수요일,6.142857142857143,517,-0.04761904761904745,쇠퇴기
2025-01-23,5,목요일,6.0,522,-0.09523809523809519,쇠퇴기
2025-01-24,6,금요일,5.857142857142857,528,-0.0952380952380955,쇠퇴기
2025-01-25,6,토요일,5.857142857142857,534,-0.0952380952380955,쇠퇴기
2025-01-26,5,일요일,5.714285714285714,539,-0.09523809523809519,쇠퇴기
2025-01-27,6,월요일,5.714285714285714,545,-0.04761904761904745,쇠퇴기
2025-01-28,5,화요일,5.571428571428571,550,-0.09523809523809519,쇠퇴기
2025-01-29,6,수요일,5.571428571428571,556,-0.04761904761904775,쇠퇴기
2025-01-30,5,목요일,5.571428571428571,561,-0.04761904761904775,쇠퇴기
2025-01-31,5,금요일,5.428571428571429,566,-0.04761904761904745,쇠퇴기
2025-02-01,5,토요일,5.285714285714286,571,-0.09523809523809519,쇠퇴기
2025-02-02,6,일요일,5.428571428571429,577,-0.04761904761904745,쇠퇴기
2025-02-03,5,월요일,5.285714285714286,582,-0.04761904761904775,쇠퇴기
2025-02-04,5,화요일,5.285714285714286,587,0.0,정체기
2025-02-05,5,수요일,5.142857142857143,592,-0.09523809523809519,쇠퇴기
2025-02-06,5,목요일,5.142857142857143,597,-0.04761904761904745,쇠퇴기
2025-02-07,5,금요일,5.142857142857143,602,-0.04761904761904745,쇠퇴기
2025-02-08,4,토요일,5.0,606,-0.04761904761904775,쇠퇴기
2025-02-09,5,일요일,4.857142857142857,611,-0.0952380952380955,쇠퇴기
2025-02-10,5,월요일,4.857142857142857,616,-0.0952380952380955,쇠퇴기
2025-02-11,5,화요일,4.857142857142857,621,-0.04761904761904775,쇠퇴기
2025-02-12,4,수요일,4.714285714285714,625,-0.04761904761904745,쇠퇴기
2025-02-13,5,목요일,4.714285714285714,630,-0.04761904761904745,쇠퇴기
2025-02-14,5,금요일,4.714285714285714,635,-0.04761904761904745,쇠퇴기
2025-02-15,4,토요일,4.714285714285714,639,0.0,정체기
2025-02-16,5,일요일,4.714285714285714,644,0.0,정체기
2025-02-17,4,월요일,4.571428571428571,648,-0.04761904761904775,쇠퇴기
2025-02-18,4,화요일,4.428571428571429,652,-0.09523809523809519,쇠퇴기
2025-02-19,5,수요일,4.571428571428571,657,-0.04761904761904775,쇠퇴기
2025-02-20,4,목요일,4.428571428571429,661,-0.04761904761904745,쇠퇴기
2025-02-21,4,금요일,4.285714285714286,665,-0.04761904761904775,쇠퇴기
2025-02-22,5,토요일,4.428571428571429,670,-0.04761904761904745,쇠퇴기
2025-02-23,4,일요일,4.285714285714286,674,-0.04761904761904775,쇠퇴기
2025-02-24,4,월요일,4.285714285714286,678,0.0,정체기
2025-02-25,4,화요일,4.285714285714286,682,-0.04761904761904775,쇠퇴기
2025-02-26,4,수요일,4.142857142857143,686,-0.04761904761904745,쇠퇴기
2025-02-27,4,목요일,4.142857142857143,690,-0.04761904761904745,쇠퇴기
2025-02-28,4,금요일,4.142857142857143,694,-0.04761904761904745,쇠퇴기
