username,upload_time,likes,year,month,day,weekday,caption_tokens,weekday_kr,week
bombaxd1243,2024-11-29 19:32:00+00:00,563,2024,11,29,Friday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]",금,2024-11-25
brr_lord4315,2024-11-29 18:51:00+00:00,69,2024,11,29,Friday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]",금,2024-11-25
cappuccina_matrix2411,2024-11-29 07:25:00+00:00,325,2024,11,29,Friday,"[[{'ENG': 'Flying'}], [{'ENG': 'spaghetti'}], [{'ENG': 'elephant'}]]",금,2024-11-25
cappuccinasniperino7938,2024-11-29 10:53:00+00:00,418,2024,11,29,Friday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]",금,2024-11-25
tungwarbird2203,2024-11-29 04:24:00+00:00,545,2024,11,29,Friday,"[[{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Sahur'}]]",금,2024-11-25
cappuccinagatto5177,2024-11-29 05:57:00+00:00,406,2024,11,29,Friday,"[[{'ENG': 'Trulimero'}], [{'ENG': 'Trulichina'}]]",금,2024-11-25
brrgatto6438,2024-11-29 04:20:00+00:00,242,2024,11,29,Friday,"[[{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Sahur'}]]",금,2024-11-25
tung_6665932,2024-11-29 18:59:00+00:00,148,2024,11,29,Friday,"[[{'ENG': 'Bombardiro'}], [{'ENG': 'Crocodilo'}]]",금,2024-11-25
io_sono_vibes1132,2024-11-29 22:42:00+00:00,482,2024,11,29,Friday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]",금,2024-11-25
cappuccina_6669723,2024-11-29 17:25:00+00:00,382,2024,11,29,Friday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]",금,2024-11-25
io_sonoxd86,2024-11-30 07:12:00+00:00,399,2024,11,30,Saturday,"[[{'ENG': 'AI'}], [{'ENG': 'dreams'}], [{'ENG': 'in'}], [{'ENG': 'mozzarella'}]]",토,2024-11-25
cappuccinaxd6483,2024-11-30 10:54:00+00:00,362,2024,11,30,Saturday,"[[{'ENG': 'Hypercapybara'}], [{'ENG': 'gelato'}]]",토,2024-11-25
bombagatto3486,2024-11-30 02:43:00+00:00,187,2024,11,30,Saturday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]",토,2024-11-25
tralalerogatto9561,2024-11-30 14:09:00+00:00,139,2024,11,30,Saturday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]",토,2024-11-25
ai_lord6740,2024-11-30 12:21:00+00:00,272,2024,11,30,Saturday,"[[{'ENG': 'Brainrot'}], [{'ENG': 'activated'}]]",토,2024-11-25
aigatto6206,2024-11-30 18:44:00+00:00,519,2024,11,30,Saturday,"[[{'ENG': 'Brainrot'}], [{'ENG': 'activated'}]]",토,2024-11-25
ai_vibes9520,2024-11-30 20:55:00+00:00,127,2024,11,30,Saturday,"[[{'ENG': 'Brr'}], [{'ENG': 'Brr'}], [{'ENG': 'Patapim'}]]",토,2024-11-25
tungxd1016,2024-11-30 13:37:00+00:00,238,2024,11,30,Saturday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]",토,2024-11-25
mangia_6669383,2024-11-30 06:24:00+00:00,405,2024,11,30,Saturday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]",토,2024-11-25
tung_lord4416,2024-11-30 09:15:00+00:00,251,2024,11,30,Saturday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]",토,2024-11-25
bombaxd2554,2024-11-30 04:18:00+00:00,490,2024,11,30,Saturday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]",토,2024-11-25
tung_matrix4459,2024-11-30 03:31:00+00:00,329,2024,11,30,Saturday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]",토,2024-11-25
bombasniperino4950,2024-11-30 05:09:00+00:00,184,2024,11,30,Saturday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]",토,2024-11-25
tungwarbird8418,2024-11-30 22:50:00+00:00,144,2024,11,30,Saturday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]",토,2024-11-25
tungwarbird1713,2024-11-30 07:16:00+00:00,514,2024,11,30,Saturday,"[[{'ENG': 'Crocodile'}], [{'ENG': 'espresso'}], [{'ENG': 'warlord'}]]",토,2024-11-25
