week,likes
2024-11-25,13308
2024-12-02,32756
2024-12-09,588693
2024-12-16,564146
2024-12-23,541038
2024-12-30,463080
2025-01-06,403807
2025-01-13,388775
2025-01-20,342700
2025-01-27,322870
2025-02-03,289156
2025-02-10,279661
2025-02-17,243848
2025-02-24,231265
2025-03-03,239177
2025-03-10,204535
2025-03-17,19777
2025-03-24,20822
2025-03-31,16382
2025-04-07,19872
2025-04-14,14454
2025-04-21,18109
2025-04-28,16695
2025-05-05,14055
2025-05-12,13838
2025-05-19,16069
2025-05-26,14383
2025-06-02,14657
2025-06-09,8890
