username,upload_time,likes,year,month,day,weekday,caption_tokens
calm_mode3784,2024-11-29 21:19:00+00:00,70,2024,11,29,Friday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅜ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅗ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅅ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅕ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅆ'}, {'JUNG': 'ㅓ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㅍ'}, {'JUNG': 'ㅕ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}]]"
vibes_gram7503,2024-11-29 20:10:00+00:00,335,2024,11,29,Friday,"[[{'CHO': 'ㄱ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅑ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄱ'}, {'JUNG': 'ㅟ'}, {'CHO': 'ㅊ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄶ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}]]"
zen_life3733,2024-11-29 05:43:00+00:00,198,2024,11,29,Friday,"[[{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㅂ'}, {'JUNG': 'ㅕ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅔ'}], [{'CHO': 'ㄱ'}, {'JUNG': 'ㅙ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅜ'}, {'JONG': 'ㅅ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
lazy_gram8606,2024-11-29 01:54:00+00:00,488,2024,11,29,Friday,"[[{'CHO': 'ㅁ'}, {'JUNG': 'ㅜ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅕ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅜ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅇ'}]]"
zen_guy4832,2024-11-29 18:16:00+00:00,533,2024,11,29,Friday,"[[{'CHO': 'ㅈ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄱ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}]]"
vibes_mode6444,2024-11-29 14:02:00+00:00,330,2024,11,29,Friday,"[[{'CHO': 'ㄱ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅑ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅗ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅁ'}]]"
vibes_life4846,2024-11-29 10:16:00+00:00,155,2024,11,29,Friday,"[[{'CHO': 'ㅁ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅑ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅔ'}, {'JONG': 'ㅆ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}]]"
chill_daily7383,2024-11-29 08:31:00+00:00,692,2024,11,29,Friday,"[[{'ENG': 'vibes'}], [{'ENG': 'only'}]]"
chill_guy9772,2024-11-29 12:22:00+00:00,636,2024,11,29,Friday,"[[{'CHO': 'ㅁ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅑ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅔ'}, {'JONG': 'ㅆ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}]]"
zen_mode2846,2024-11-29 16:56:00+00:00,678,2024,11,29,Friday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㄱ'}, {'JUNG': 'ㅑ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅜ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅂ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}]]"
