username,upload_time,likes,year,month,day,weekday,caption_tokens
bombaxd1243,2024-11-29 19:32:00+00:00,563,2024,11,29,Friday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]"
brr_lord4315,2024-11-29 18:51:00+00:00,69,2024,11,29,Friday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]"
cappuccina_matrix2411,2024-11-29 07:25:00+00:00,325,2024,11,29,Friday,"[[{'ENG': 'Flying'}], [{'ENG': 'spaghetti'}], [{'ENG': 'elephant'}]]"
cappuccinasniperino7938,2024-11-29 10:53:00+00:00,418,2024,11,29,Friday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]"
tungwarbird2203,2024-11-29 04:24:00+00:00,545,2024,11,29,Friday,"[[{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Sahur'}]]"
cappuccinagatto5177,2024-11-29 05:57:00+00:00,406,2024,11,29,Friday,"[[{'ENG': 'Trulimero'}], [{'ENG': 'Trulichina'}]]"
brrgatto6438,2024-11-29 04:20:00+00:00,242,2024,11,29,Friday,"[[{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Sahur'}]]"
tung_6665932,2024-11-29 18:59:00+00:00,148,2024,11,29,Friday,"[[{'ENG': 'Bombardiro'}], [{'ENG': 'Crocodilo'}]]"
io_sono_vibes1132,2024-11-29 22:42:00+00:00,482,2024,11,29,Friday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]"
cappuccina_6669723,2024-11-29 17:25:00+00:00,382,2024,11,29,Friday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]"
io_sonoxd86,2024-11-30 07:12:00+00:00,399,2024,11,30,Saturday,"[[{'ENG': 'AI'}], [{'ENG': 'dreams'}], [{'ENG': 'in'}], [{'ENG': 'mozzarella'}]]"
cappuccinaxd6483,2024-11-30 10:54:00+00:00,362,2024,11,30,Saturday,"[[{'ENG': 'Hypercapybara'}], [{'ENG': 'gelato'}]]"
bombagatto3486,2024-11-30 02:43:00+00:00,187,2024,11,30,Saturday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]"
tralalerogatto9561,2024-11-30 14:09:00+00:00,139,2024,11,30,Saturday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]"
ai_lord6740,2024-11-30 12:21:00+00:00,272,2024,11,30,Saturday,"[[{'ENG': 'Brainrot'}], [{'ENG': 'activated'}]]"
aigatto6206,2024-11-30 18:44:00+00:00,519,2024,11,30,Saturday,"[[{'ENG': 'Brainrot'}], [{'ENG': 'activated'}]]"
ai_vibes9520,2024-11-30 20:55:00+00:00,127,2024,11,30,Saturday,"[[{'ENG': 'Brr'}], [{'ENG': 'Brr'}], [{'ENG': 'Patapim'}]]"
tungxd1016,2024-11-30 13:37:00+00:00,238,2024,11,30,Saturday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]"
mangia_6669383,2024-11-30 06:24:00+00:00,405,2024,11,30,Saturday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]"
tung_lord4416,2024-11-30 09:15:00+00:00,251,2024,11,30,Saturday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]"
bombaxd2554,2024-11-30 04:18:00+00:00,490,2024,11,30,Saturday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]"
tung_matrix4459,2024-11-30 03:31:00+00:00,329,2024,11,30,Saturday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]"
bombasniperino4950,2024-11-30 05:09:00+00:00,184,2024,11,30,Saturday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]"
tungwarbird8418,2024-11-30 22:50:00+00:00,144,2024,11,30,Saturday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]"
tungwarbird1713,2024-11-30 07:16:00+00:00,514,2024,11,30,Saturday,"[[{'ENG': 'Crocodile'}], [{'ENG': 'espresso'}], [{'ENG': 'warlord'}]]"
cappuccina_vibes8864,2024-11-30 03:02:00+00:00,292,2024,11,30,Saturday,"[[{'ENG': 'Crocodile'}], [{'ENG': 'espresso'}], [{'ENG': 'warlord'}]]"
tralalerowarbird2767,2024-12-01 00:32:00+00:00,535,2024,12,1,Sunday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]"
aiwarbird5295,2024-12-01 00:19:00+00:00,139,2024,12,1,Sunday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]"
io_sonowarbird4839,2024-12-01 10:41:00+00:00,280,2024,12,1,Sunday,"[[{'ENG': 'Bombardiro'}], [{'ENG': 'Crocodilo'}]]"
bombagatto6247,2024-12-01 22:28:00+00:00,285,2024,12,1,Sunday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]"
tunggatto5883,2024-12-01 11:16:00+00:00,316,2024,12,1,Sunday,"[[{'ENG': 'Io'}], [{'ENG': 'sono'}], [{'ENG': 'gelato'}], [{'ENG': 'volante'}]]"
cappuccina_vibes4969,2024-12-01 07:59:00+00:00,160,2024,12,1,Sunday,"[[{'ENG': 'Hypercapybara'}], [{'ENG': 'gelato'}]]"
cappuccinasniperino544,2024-12-01 13:34:00+00:00,457,2024,12,1,Sunday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]"
mangia_vibes9038,2024-12-01 18:41:00+00:00,92,2024,12,1,Sunday,"[[{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Tung'}], [{'ENG': 'Sahur'}]]"
mangia_vibes7560,2024-12-01 16:59:00+00:00,171,2024,12,1,Sunday,"[[{'ENG': 'Brainrot'}], [{'ENG': 'activated'}]]"
bombagatto7009,2024-12-01 18:43:00+00:00,230,2024,12,1,Sunday,"[[{'ENG': 'Opera'}], [{'ENG': 'bird'}], [{'ENG': 'sings'}], [{'ENG': 'fire'}]]"
tralalerogatto4965,2024-12-01 09:38:00+00:00,379,2024,12,1,Sunday,"[[{'ENG': 'Trulimero'}], [{'ENG': 'Trulichina'}]]"
aigatto3291,2024-12-01 23:26:00+00:00,272,2024,12,1,Sunday,"[[{'ENG': 'Bambino'}], [{'ENG': 'sniper'}], [{'ENG': 'in'}], [{'ENG': 'Vespa'}]]"
tralaleroxd7644,2024-12-01 13:07:00+00:00,347,2024,12,1,Sunday,"[[{'ENG': 'Brr'}], [{'ENG': 'Brr'}], [{'ENG': 'Patapim'}]]"
bombaxd187,2024-12-01 02:27:00+00:00,376,2024,12,1,Sunday,"[[{'ENG': 'Shark'}], [{'ENG': 'with'}], [{'ENG': 'pasta'}], [{'ENG': 'arms'}]]"
tung_lord7941,2024-12-01 07:14:00+00:00,292,2024,12,1,Sunday,"[[{'ENG': 'Brr'}], [{'ENG': 'Brr'}], [{'ENG': 'Patapim'}]]"
cappuccina_matrix4264,2024-12-01 15:05:00+00:00,545,2024,12,1,Sunday,"[[{'ENG': 'Tralalero'}], [{'ENG': 'Tralala'}]]"
aiwarbird1289,2024-12-02 13:38:00+00:00,228,2024,12,2,Monday,"[[{'ENG': 'Patapim'}], [{'ENG': 'Patapam'}]]"
mangia_lord6364,2024-12-02 14:50:00+00:00,511,2024,12,2,Monday,"[[{'ENG': 'Mangiare'}], [{'ENG': 'Il'}], [{'ENG': 'Gattino'}]]"
tungsniperino872,2024-12-02 19:27:00+00:00,329,2024,12,2,Monday,"[[{'ENG': 'Bombardiro'}], [{'ENG': 'Crocodilo'}]]"
