username,upload_time,likes,year,month,day,weekday,caption_tokens
so_x305,2025-03-13 22:05:00+00:00,5274,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㅅ'}, {'CHO': 'ㅊ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅠ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
lee_2221,2025-03-13 21:47:00+00:00,350,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㅅ'}, {'CHO': 'ㅊ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅠ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
jin.9865,2025-03-13 04:31:00+00:00,1160,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅔ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅍ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅢ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅔ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅍ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅔ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅟ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅌ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㅋ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅊ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}]]"
btsk7167,2025-03-13 09:24:00+00:00,942,2025,3,13,Thursday,"[[{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}]]"
kimgram2908,2025-03-13 19:11:00+00:00,343,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㅅ'}, {'CHO': 'ㅊ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅠ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
real982783,2025-03-13 02:06:00+00:00,1195,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅔ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅍ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅢ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅔ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅍ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅇ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅔ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅟ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅌ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㅋ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅊ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}]]"
meme997646,2025-03-13 17:43:00+00:00,821,2025,3,13,Thursday,"[[{'CHO': 'ㄴ'}, {'JUNG': 'ㅜ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅡ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅑ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}], [{'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅔ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄱ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅕ'}, {'JONG': 'ㅇ'}]]"
cha994582,2025-03-13 20:35:00+00:00,7684,2025,3,13,Thursday,"[[{'CHO': 'ㅎ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅐ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅐ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅗ'}], [{'CHO': 'ㅅ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅡ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅈ'}, {'JUNG': 'ㅜ'}, {'JONG': 'ㅇ'}]]"
realtv406,2025-03-13 04:17:00+00:00,618,2025,3,13,Thursday,"[[{'CHO': 'ㄷ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄷ'}, {'JUNG': 'ㅗ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅅ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅇ'}, {'JUNG': 'ㅛ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅓ'}], [{'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㄹ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
lee.4385,2025-03-13 02:38:00+00:00,72,2025,3,13,Thursday,"[[{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅓ'}, {'JONG': 'ㄴ'}], [{'CHO': 'ㅁ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㅅ'}, {'CHO': 'ㅊ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㅁ'}, {'CHO': 'ㅈ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㅋ'}], [{'CHO': 'ㄴ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㄴ'}, {'JUNG': 'ㅣ'}, {'CHO': 'ㄱ'}, {'JUNG': 'ㅏ'}, {'CHO': 'ㅅ'}, {'JUNG': 'ㅡ'}, {'CHO': 'ㅋ'}, {'JUNG': 'ㅣ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㄹ'}, {'CHO': 'ㅂ'}, {'JUNG': 'ㅗ'}, {'JONG': 'ㄴ'}, {'CHO': 'ㅉ'}, {'JUNG': 'ㅏ'}, {'JONG': 'ㄹ'}], [{'CHO': 'ㅇ'}, {'JUNG': 'ㅠ'}, {'CHO': 'ㅎ'}, {'JUNG': 'ㅐ'}, {'JONG': 'ㅇ'}, {'CHO': 'ㅁ'}, {'JUNG': 'ㅣ'}, {'JONG': 'ㅁ'}]]"
